"providerId","providerName","coverageType","coverageTargets","listingStatus","licenseOrCertificationNotes","officialApprovalSourceUrl","phone","email","siteUrl","listingSource","pageLabel","lastReviewed"
"sarasota-dolphin-fire","DOLPHIN FIRE LLC","utility","sarasota-county-utilities","PUBLIC","Official Sarasota County approved contractor entry","https://www.scgov.net/home/showpublisheddocument/72849/639008742293670000","941-378-9493","office@dolphinfirellc.com","","DIRECTORY","Officially listed on the Sarasota County approved contractor PDF","2026-04-05"
"scottsdale-eagle-plumbing","Eagle Plumbing Services","utility","scottsdale-water","PUBLIC","Official Scottsdale utility tester entry from the quarterly business-license roster.","https://www.scottsdaleaz.gov/docs/default-source/scottsdaleaz/water/water-operations/backflow-testers.pdf?sfvrsn=debc7310_5","480-659-4942","","","DIRECTORY","Officially listed on Scottsdale's quarterly tester PDF.","2026-04-05"
"scottsdale-jaz-backflow","JAZ Backflow Prevention","utility","scottsdale-water","PUBLIC","Official Scottsdale utility tester entry from the quarterly business-license roster.","https://www.scottsdaleaz.gov/docs/default-source/scottsdaleaz/water/water-operations/backflow-testers.pdf?sfvrsn=debc7310_5","480-282-0505","","","DIRECTORY","Officially listed on Scottsdale's quarterly tester PDF.","2026-04-05"
"seminole-ace-flow-control","Ace Flow Control","utility","seminole-county-water","PUBLIC","Official Seminole County certified tester entry for domestic and fire work.","https://www.seminolecountyfl.gov/docs/default-source/pdf/ccc-vendors-0424.pdf?sfvrsn=5f15c059_1","407-574-7208","","","DIRECTORY","Officially listed on Seminole County's certified tester PDF.","2026-04-05"
"seminole-brads-backflow","Brad's Backflow Service","utility","seminole-county-water","PUBLIC","Official Seminole County certified tester entry for domestic work.","https://www.seminolecountyfl.gov/docs/default-source/pdf/ccc-vendors-0424.pdf?sfvrsn=5f15c059_1","407-832-7425","","","DIRECTORY","Officially listed on Seminole County's certified tester PDF.","2026-04-05"
"sfpuc-1-backflow","1 Backflow Plumbing","utility","sfpuc-water","PUBLIC","Official San Francisco certified backflow tester entry","https://www.sf.gov/reports--november-2023--find-certified-tester-your-backflow-assembly","415-913-8941","jtc@buildinghelp.com","https://www.1backflow.com","DIRECTORY","Officially listed on the San Francisco certified tester list","2026-04-05"
"sfpuc-415-backflow","415 Backflow Testing","utility","sfpuc-water","PUBLIC","Official San Francisco certified backflow tester entry","https://www.sf.gov/reports--november-2023--find-certified-tester-your-backflow-assembly","415-894-0060","info@415test.com","https://www.415test.com","DIRECTORY","Officially listed on the San Francisco certified tester list","2026-04-05"
"sfpuc-aa-precision","AA Precision Backflow","utility","sfpuc-water","PUBLIC","Official San Francisco certified backflow tester entry","https://www.sf.gov/reports--november-2023--find-certified-tester-your-backflow-assembly","415-517-3112","kelly@aaprecisionbackflow.com","","DIRECTORY","Officially listed on the San Francisco certified tester list","2026-04-05"
"talty-action-sprinkler","Action Sprinkler Repair","utility","talty-sud","PUBLIC","Official Talty SUD registered tester entry","https://www.taltysud.com/forms/backflowtesters.pdf","214-663-4023","","","DIRECTORY","Officially listed on the Talty SUD tester PDF","2026-04-04"
"talty-affordable-irrigation","Affordable Irrigation","utility","talty-sud","PUBLIC","Official Talty SUD registered tester entry","https://www.taltysud.com/forms/backflowtesters.pdf","972-880-4250","","","DIRECTORY","Officially listed on the Talty SUD tester PDF","2026-04-04"
"talty-kjs-backflow","KJ's Backflow Services","utility","talty-sud","PUBLIC","Official Talty SUD registered tester entry","https://www.taltysud.com/forms/backflowtesters.pdf","469-499-6975","","","DIRECTORY","Officially listed on the Talty SUD tester PDF","2026-04-04"
"talty-semper-fi","Semper Fi Backflow","utility","talty-sud","PUBLIC","Official Talty SUD registered tester entry","https://www.taltysud.com/forms/backflowtesters.pdf","972-510-8446","","","DIRECTORY","Officially listed on the Talty SUD tester PDF","2026-04-04"
"tempe-servworx","Servworx Plumbing","utility","tempe-water","PUBLIC","Official Tempe registered testing company entry","https://www.tempe.gov/home/showpublisheddocument/112159/639052888033930000","480-881-6765","frank@servworxplumbingaz.com","","DIRECTORY","Officially listed on the Tempe tester PDF","2026-04-05"
"tempe-sonoran","Sonoran Backflow Services","utility","tempe-water","PUBLIC","Official Tempe registered testing company entry","https://www.tempe.gov/home/showpublisheddocument/112159/639052888033930000","480-415-4134","stephen@sonoranbackflowservices.com","","DIRECTORY","Officially listed on the Tempe tester PDF","2026-04-05"
"tempe-summit-fire","Summit Fire Protection","utility","tempe-water","PUBLIC","Official Tempe registered testing company entry","https://www.tempe.gov/home/showpublisheddocument/112159/639052888033930000","831-239-8873","ebeckman@summitfire.com","","DIRECTORY","Officially listed on the Tempe tester PDF","2026-04-05"
"tucson-annual-backflow","#1 Annual Backflow Certification & Repair","utility","tucson-water|marana-water","PUBLIC","Official tester entry carried on both Tucson and Marana public tester lists.","https://www.maranaaz.gov/files/assets/cityofmarana/v/1/water/documents/approved-bf-tester-list-08.14.2024.pdf","520-201-8646","backflowtestingaz@gmail.com","","DIRECTORY","Officially listed across Tucson-area utility tester lists.","2026-04-05"
"tucson-backflow-testing","Tucson Backflow Testing","utility","tucson-water","PUBLIC","Official Tucson tester list entry","https://www.tucsonaz.gov/files/sharedassets/public/v/1/city-services/tucson-water/water-quality/documents/backflow_tester_list_2020_march.pdf","520-745-3962","","","DIRECTORY","Officially listed on the Tucson tester PDF","2026-04-04"
"tucson-bps","Backflow Prevention Specialties","utility","tucson-water","PUBLIC","Official Tucson tester list entry","https://www.tucsonaz.gov/files/sharedassets/public/v/1/city-services/tucson-water/water-quality/documents/backflow_tester_list_2020_march.pdf","520-792-3411","","","DIRECTORY","Officially listed on the Tucson tester PDF","2026-04-04"
"wpb-a1-teddy","A1 Teddy Feldman Plumbing Co.","utility","west-palm-beach-water","PUBLIC","Official West Palm Beach approved plumbing contractor entry","https://www.wpb.org/files/assets/city/v/1/public-utilities/documents/approved-plumbers-list.pdf","561-452-2222","","","DIRECTORY","Officially listed on the West Palm Beach approved contractors PDF","2026-04-05"
"wpb-absolute-plumbing","Absolute Plumbing Inc.","utility","west-palm-beach-water","PUBLIC","Official West Palm Beach approved plumbing contractor entry","https://www.wpb.org/files/assets/city/v/1/public-utilities/documents/approved-plumbers-list.pdf","561-841-8220","","","DIRECTORY","Officially listed on the West Palm Beach approved contractors PDF","2026-04-05"
"next-day-backflow-texas","Next Day Backflow Testing","utility","dallas-water|fort-worth-water|arlington-water|gptx-water|garland-water|mesquite-water|lewisville-water|mckinney-water|frisco-water|austin-water|round-rock-water|leander-water","HOLD","Held provider candidate sourced from the provider's own commercial site; the company markets licensed domestic irrigation and fire-line testing from a DFW base across Texas.","","214-218-6415","Israel@nextdaybackflowtesting.com","https://nextdaybackflowtesting.com/","DIRECT_SITE","Held provider candidate for DFW and Central Texas commercial backflow routing.","2026-04-05"
"aquatech-backflow-dfw","Aquatech Backflow Services","utility","arlington-water|fort-worth-water|gptx-water|dallas-water","HOLD","Held provider candidate sourced from the provider's own site; Aquatech markets irrigation backflow and repair work across Arlington Grand Prairie Dallas and Fort Worth.","","817-608-6304","","https://www.dfwbackflowtesting.com/","DIRECT_SITE","Held provider candidate for Arlington and the wider DFW utility cluster.","2026-04-05"
"anybackflow-phoenix","AnyBackFlow.com Inc.","utility","phoenix-water|mesa-water|chandler-water|scottsdale-water|tempe-water|glendale-water|avondale-water","HOLD","Held provider candidate sourced from the provider's own site; AnyBackFlow markets domestic irrigation fire-system and temporary-connection testing across the greater Phoenix metro.","","602-228-2923","info@anybackflow.com","https://www.anybackflow.com/","DIRECT_SITE","Held provider candidate for the Phoenix metro commercial and fire-line cluster.","2026-04-05"
"arizona-certified-backflow-tucson","Arizona Certified Backflow Testers LLC","utility","tucson-water|marana-water","HOLD","Held provider candidate sourced from the provider's own site; Arizona Certified Backflow Testers focuses on Tucson-area compliance testing repair and reclaimed-water inspections.","","520-721-2881","backflowmasters@yahoo.com","https://www.backflowmasters.com/","DIRECT_SITE","Held provider candidate for the Tucson and Marana utility cluster.","2026-04-05"
"ledoux-backflow-sacramento","LeDoux Backflow Testing Services Inc.","utility","sacramento-water|sswd-water|roseville-water","HOLD","Held provider candidate sourced from the provider's own site; LeDoux markets annual testing repair installation and compliance filing across Sacramento and nearby Placer County cities.","","916-826-8202","","https://www.ledouxbackflow.com/","DIRECT_SITE","Held provider candidate for Sacramento and nearby Northern California utility routes.","2026-04-05"
"southern-california-backflow","Southern California Backflow","utility","riverside-water","HOLD","Held provider candidate sourced from the provider's own site; Southern California Backflow markets annual testing repair installation and compliance management across the Inland Empire.","","909-723-2478","scbackflowtests@gmail.com","https://www.southerncaliforniabackflow.com/","DIRECT_SITE","Held provider candidate for Inland Empire utility routing centered on Riverside.","2026-04-05"
"blueline-backflow-front-range","BlueLine Backflow Testing LLC","utility","fort-collins-utilities|greeley-water|denver-water|thornton-water|csu-backflow","HOLD","Held provider candidate sourced from the provider's own site; BlueLine markets commercial residential fire irrigation and agricultural backflow work across Northern Colorado and the Front Range.","","970-795-2000","support@bluelinebackflow.com","https://www.bluelinebackflow.com/","DIRECT_SITE","Held provider candidate for Front Range commercial and fire-system routes.","2026-04-05"
"aarons-backflow-central-florida","Aaron's Backflow Services Inc.","utility","orange-county-utilities|ouc-water|seminole-county-water","HOLD","Held provider candidate sourced from the provider's own site; Aaron's markets residential commercial and fireline backflow services and lists OUC and Orange County contracts.","","407-829-7933","office@aaronsbackflow.com","https://aaronsbackflow.com/","DIRECT_SITE","Held provider candidate for the Greater Orlando utility cluster.","2026-04-05"
"backflow-services-inc-central-florida","Backflow Services Inc","utility","orange-county-utilities|ouc-water|seminole-county-water|tampa-water|hillsborough-county-water","HOLD","Held provider candidate sourced from the provider's own site; the company markets central Florida coast-to-coast testing repairs maintenance and utility discounts.","","904-274-2420","service@flbsi.com","https://flbsi.com/","DIRECT_SITE","Held provider candidate spanning Greater Orlando and the Tampa Bay Gulf Coast cluster.","2026-04-05"
"american-allstate-south-florida","American Allstate Backflow Specialists Inc.","utility","miami-dade-wasd|broward-water|fort-lauderdale-water|pbc-water-utilities|west-palm-beach-water","HOLD","Held provider candidate sourced from the provider's own site; American Allstate markets annual testing repairs replacements and anti-theft systems across Miami-Dade Broward and South Palm Beach.","","954-316-8071","americanallstate@bellsouth.net","https://www.americanallstatebackflow.com/","DIRECT_SITE","Held provider candidate for South Florida county and city utility routing.","2026-04-05"
"doctor-backflow-swfl","Doctor Backflow LLC","utility","lee-county-utilities|sarasota-county-utilities","HOLD","Held provider candidate sourced from the provider's own site; Doctor Backflow markets testing maintenance replacement and fireline work across Southwest Florida including Lee County and the City of Sarasota.","","941-499-7332","doctorbackflow@gmail.com","https://backflowlab.com/","DIRECT_SITE","Held provider candidate for Southwest Florida county utility routes.","2026-04-05"
"aa-backflow-orange-county","A-A Backflow Testing & Maintenance","utility","anaheim-water|irwd-backflow","HOLD","Held provider candidate sourced from the provider's own site; A-A Backflow explicitly markets Orange County testing maintenance and installation service and cites Anaheim among its service-area cities.","","800-342-5104","info@aabackflow.com","https://aabackflow.com/orange-county.html","DIRECT_SITE","Held provider candidate for Orange County utility routing and annual testing demand.","2026-04-05"
"county-backflow-socal","County Backflow","utility","san-diego-water|riverside-water|anaheim-water|irwd-backflow|pasadena-water","HOLD","Held provider candidate sourced from the provider's own site; County Backflow markets certified testing repairs installations and compliance filing across San Diego Orange Riverside and Los Angeles counties.","","619-920-7825","","https://countybackflow.com/","DIRECT_SITE","Held provider candidate spanning Southern California utility and county-certified tester routes.","2026-04-05"
"caters-backflow-sacramento","Caters Backflow Services","utility","sacramento-water|sswd-water|roseville-water|modesto-water","HOLD","Held provider candidate sourced from the provider's own site; Caters Backflow markets annual testing repair installation and regulatory reporting across the greater Sacramento area and nearby districts.","","","","https://www.sacbackflow.com/","DIRECT_SITE","Held provider candidate for Sacramento-area annual testing and property-management demand.","2026-04-05"
"colorado-backflow-testers","Backflow Testers LLC","utility","denver-water|aurora-water|englewood-utilities|castle-rock-water","HOLD","Held provider candidate sourced from the provider's own site; Backflow Testers markets testing repairs and residential PVB replacement from an Englewood base for the Denver area.","","720-949-5492","info@coloradobackflow.com","https://www.coloradobackflow.com/","DIRECT_SITE","Held provider candidate for Denver-area testing and repair demand.","2026-04-05"
"backflowtech-colorado","BackflowTech","utility","denver-water|aurora-water|arvada-water|thornton-water|westminster-water","HOLD","Held provider candidate sourced from the provider's own site; BackflowTech markets testing repairs installations notarized air-gap verification and fire-suppression work throughout Colorado from a Lakewood base.","","303-986-4601","service@backflowtech.com","https://backflowtech.com/","DIRECT_SITE","Held provider candidate for the Front Range utility and fire-system cluster.","2026-04-05"
"test-go-south-florida","Test & Go Backflow","utility","miami-dade-wasd|broward-water|fort-lauderdale-water","HOLD","Held provider candidate sourced from the provider's own site; Test & Go markets certified annual testing and water-department certification reports across Miami-Dade and Broward County.","","786-819-4764","","https://www.testandgobackflow.com/","DIRECT_SITE","Held provider candidate for South Florida residential and HOA testing demand.","2026-04-05"
